date,close,open,high,low,volume,pct_change,daily_return,cumulative_return,drawdown,ma20,ma50,ma200
2018-06-18,486.7,490.1,491.0,486.1,25230.0,-0.0069,-0.0069373597225056,0.0118503118503121,-0.0531128404669257,485.1474999999999,491.848,
2018-06-19,489.3,489.0,492.0,487.5,47140.0,0.0053,0.0053420998561741,0.0172557172557175,-0.0480544747081709,485.71,491.774,
2018-06-20,492.0,489.0,492.0,488.1,236940.0,0.0055,0.0055180870631514,0.0228690228690231,-0.0428015564202332,486.41,491.774,
2018-06-21,471.2,466.0,476.85,466.0,211560.0,-0.0423,-0.0422764227642277,-0.0203742203742202,-0.0832684824902721,486.12,491.357,
2018-06-22,479.9,469.0,479.9,469.0,2520.0,0.0185,0.0184634974533106,-0.0022869022869022,-0.0663424124513617,486.265,491.111,
2018-06-25,479.4,475.0,479.4,471.1,38310.0,-0.001,-0.0010418837257761,-0.0033264033264032,-0.0673151750972761,485.845,490.839,
2018-06-26,475.0,472.0,476.0,472.0,71160.0,-0.0092,-0.0091781393408426,-0.0124740124740122,-0.0758754863813226,485.7375,490.379,
2018-06-27,475.0,475.0,479.0,472.0,27200.0,0.0,0.0,-0.0124740124740122,-0.0758754863813226,485.5425,489.999,
2018-06-28,475.0,475.0,475.0,470.0,1830000.0,0.0,0.0,-0.0124740124740122,-0.0758754863813226,485.24000000000007,489.605,
2018-06-29,470.0,474.9,475.0,470.0,77960.0,-0.0105,-0.0105263157894737,-0.0228690228690227,-0.0856031128404667,484.4875,489.085,
2018-07-02,469.0,479.6,479.6,469.0,2510.0,-0.0021,-0.002127659574468,-0.0249480249480247,-0.0875486381322955,483.6625,488.465,
2018-07-03,462.15,469.0,472.0,462.15,46850.0,-0.0146,-0.0146055437100213,-0.039189189189189,-0.1008754863813227,482.615,487.616,
2018-07-04,463.0,463.0,463.0,463.0,22840.0,0.0018,0.001839229687331,-0.037422037422037,-0.0992217898832681,481.61,486.778,
2018-07-05,463.0,476.85,476.85,463.0,2630.0,0.0,0.0,-0.037422037422037,-0.0992217898832681,480.5075,486.038,
2018-07-06,474.9,464.5,474.9,464.0,6240.0,0.0256999999999999,0.0257019438444923,-0.0126819126819124,-0.0760700389105055,479.4025,485.534,
2018-07-09,467.0,474.5,474.5,465.0,17800.0,-0.0166,-0.0166350810696988,-0.0291060291060287,-0.0914396887159529,478.0025,484.874,
2018-07-10,470.0,479.6,479.6,470.0,60.0,0.0064,0.006423982869379,-0.0228690228690224,-0.0856031128404665,476.7525,484.174,
2018-07-11,462.05,467.7,475.0,462.05,35400.0,-0.0169,-0.0169148936170212,-0.0393970893970889,-0.1010700389105053,475.24000000000007,483.217,
2018-07-12,461.95,462.5,465.0,460.1,19880.0,-0.0002,-0.000216426793637,-0.0396049896049892,-0.1012645914396883,473.8325,482.444,
2018-07-13,459.95,460.1,464.8,459.95,79900.0,-0.0043,-0.004329472886676,-0.0437629937629934,-0.1051556420233459,472.325,481.631,
2018-07-16,456.0,468.8,468.8,456.0,4600.0,-0.0086,-0.0085878899880421,-0.0519750519750515,-0.1128404669260696,470.7900000000001,480.653,
2018-07-17,453.0,456.5,456.5,451.0,14800.0,-0.0066,-0.006578947368421,-0.0582120582120577,-0.118677042801556,468.975,479.713,
2018-07-18,446.05,442.0,453.0,442.0,63450.0,-0.0153,-0.0153421633554083,-0.0726611226611222,-0.132198443579766,466.6775,478.691,
2018-07-19,452.0,446.1,458.5,445.5,12200.0,0.0133,0.0133393117363525,-0.0602910602910597,-0.1206225680933846,465.7175,477.7710000000001,
2018-07-20,460.0,453.0,460.0,453.0,17160.0,0.0177,0.0176991150442478,-0.0436590436590431,-0.1050583657587543,464.7225,477.049,
